"fixture_id","kind","c0","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13"
"F15","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","5000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F15","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F15","BAR","200","10000","10005","9990","10000","10","","","","","","","",""
"F15","CAND","-1","100","100000","100.0","100.07","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F16","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","30","AUTO","RUN_OK","XAUUSD","5"
"F16","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F16","BAR","200","10000","10020","9995","10010","10","","","","","","","",""
"F16","BAR","300","10010","10120","10005","10100","10","","","","","","","",""
"F16","CAND","1","100","100000","100.1","100.05","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F17","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","30","AUTO","RUN_OK","XAUUSD","5"
"F17","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F17","BAR","200","10000","10020","9995","10010","10","","","","","","","",""
"F17","BAR","300","10010","10120","10005","10100","10","","","","","","","",""
"F17","CAND","1","100","100000","100.1","100.05","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F18","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F18","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F18","BAR","200","10000","10020","9995","10010","10","","","","","","","",""
"F18","BAR","300","10010","10060","10005","10050","10","","","","","","","",""
"F18","CAND","1","100","100000","100.205","100.1","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F19","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F19","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F19","BAR","200","10000","10020","9995","10010","10","","","","","","","",""
"F19","CAND","1","100","100000","100.1","100.09","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F20","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F20","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F20","BAR","200","10000","10020","9995","10010","10","","","","","","","",""
"F20","BAR","300","10010","10080","10005","10070","10","","","","","","","",""
"F20","BAR","400","10005","10015","9995","10005","10","","","","","","","",""
"F20","BAR","500","10005","10015","9995","10005","10","","","","","","","",""
"F20","CAND","1","100","100000","100.1","99.8","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F20","CAND","1","250","100000","100.1","99.8","2.0","9","E|2","S|2","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F21","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F21","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F21","BAR","200","10000","10020","9995","10010","10","","","","","","","",""
"F21","BAR","300","10010","10080","10005","10070","10","","","","","","","",""
"F21","BAR","400","10005","10015","9995","10005","10","","","","","","","",""
"F21","BAR","500","10005","10015","9995","10005","10","","","","","","","",""
"F21","CAND","1","100","100000","100.1","99.8","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F21","CAND","-1","250","100000","100.0","100.2","2.0","9","E|2","S|2","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F22","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F22","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F22","BAR","200","10000","10020","9995","10010","10","","","","","","","",""
"F22","BAR","300","10010","10080","10005","10070","10","","","","","","","",""
"F22","BAR","400","10005","10015","9995","10005","10","","","","","","","",""
"F22","BAR","500","10005","10015","9995","10005","10","","","","","","","",""
"F22","CAND","1","100","100000","100.1","99.8","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F22","CAND","1","350","100000","100.1","99.8","2.0","9","E|3","S|3","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F23","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F23","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F23","BAR","200","10000","10020","9995","10010","10","","","","","","","",""
"F23","BAR","300","10010","10080","10005","10070","10","","","","","","","",""
"F23","BAR","400","10005","10015","9995","10005","10","","","","","","","",""
"F23","BAR","500","10005","10015","9995","10005","10","","","","","","","",""
"F23","CAND","1","100","100000","100.1","99.8","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F23","CAND","1","250","100000","100.1","99.8","2.0","10","E|2","S|2","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F24","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F24","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F24","BAR","200","10000","10020","9995","10010","10","","","","","","","",""
"F24","BAR","300","10010","10080","10005","10070","10","","","","","","","",""
"F24","BAR","400","10005","10015","9995","10005","10","","","","","","","",""
"F24","BAR","500","10005","10015","9995","10005","10","","","","","","","",""
"F24","CAND","1","100","100000","100.1","99.8","2.0","9","E|2","S|2","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F24","CAND","1","100","100000","100.1","99.8","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F25","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F25","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F25","BAR","200","10000","10020","9995","10010","10","","","","","","","",""
"F25","BAR","300","10010","10060","10005","10050","10","","","","","","","",""
"F25","CAND","1","100","100000","100.1","99.9","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F26","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F26","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F26","BAR","200","10000","10015","9985","10000","10","","","","","","","",""
"F26","CAND","1","100","100000","100.1","99.9","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F27","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F27","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F27","BAR","200","10000","10005","9930","10000","10","","","","","","","",""
"F27","CAND","-1","100","100000","100.0","100.2","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F28","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F28","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F28","BAR","200","10000","10025","9995","10000","10","","","","","","","",""
"F28","CAND","-1","100","100000","100.0","100.2","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F29","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F29","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F29","BAR","200","10000","10060","9985","10000","10","","","","","","","",""
"F29","CAND","1","100","100000","100.1","99.9","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F30","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F30","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F30","BAR","200","10000","10015","9945","10000","10","","","","","","","",""
"F30","CAND","-1","100","100000","100.0","100.2","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F31","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F31","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F31","BAR","200","10000","10015","9995","10005","10","","","","","","","",""
"F31","BAR","300","9970","9975","9960","9965","10","","","","","","","",""
"F31","CAND","1","100","100000","100.1","99.9","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F32","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F32","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F32","BAR","200","10000","10005","9995","10000","10","","","","","","","",""
"F32","BAR","300","10040","10060","10035","10050","10","","","","","","","",""
"F32","CAND","-1","100","100000","100.0","100.2","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F33","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F33","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F33","BAR","200","10000","10020","9995","10010","10","","","","","","","",""
"F33","BAR","300","10080","10090","10075","10085","10","","","","","","","",""
"F33","CAND","1","100","100000","100.1","99.9","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F34","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F34","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F34","BAR","200","10000","10015","9995","10005","10","","","","","","","",""
"F34","CAND","1","100","100000","100.1","99.8","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F35","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F35","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F35","BAR","200","10000","10005","9995","10000","10","","","","","","","",""
"F35","CAND","-1","100","100000","100.0","100.5","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F36","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F36","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F36","BAR","200","10000","10060","9995","10050","10","","","","","","","",""
"F36","CAND","1","100","100000","100.1","99.9","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F37","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F37","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F37","BAR","200","10000","10020","9995","10010","10","","","","","","","",""
"F37","BAR","300","10010","10060","10005","10050","10","","","","","","","",""
"F37","CAND","1","100","100000","100.1","99.9","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F38","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F38","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F38","BAR","200","10000","10015","9985","10000","10","","","","","","","",""
"F38","CAND","1","100","100000","100.1","99.9","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F39","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F39","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F39","BAR","200","10000","10005","9930","10000","10","","","","","","","",""
"F39","CAND","-1","100","100000","100.0","100.2","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F40","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F40","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F40","BAR","200","10000","10025","9995","10000","10","","","","","","","",""
"F40","CAND","-1","100","100000","100.0","100.2","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F41","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F41","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F41","BAR","200","10000","10015","9995","10005","10","","","","","","","",""
"F41","CAND","1","100","100000","100.1","99.8","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F42","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F42","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F42","BAR","200","10000","10020","9995","10010","10","","","","","","","",""
"F42","BAR","300","10010","10060","10005","10050","10","","","","","","","",""
"F42","CAND","1","100","100000","100.1","99.9","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F43","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F43","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F43","BAR","200","10000","10005","9930","10000","10","","","","","","","",""
"F43","CAND","-1","100","100000","100.0","100.2","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F44","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F44","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F44","BAR","200","10000","10010","9970","10000","20","","","","","","","",""
"F44","BAR","300","10000","10010","9930","10000","30","","","","","","","",""
"F44","CAND","-1","100","100000","100.0","100.2","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F45","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F45","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F45","BAR","200","10000","10020","9995","10010","10","","","","","","","",""
"F45","BAR","300","10010","10060","10005","10050","10","","","","","","","",""
"F45","CAND","1","100","100000","100.1","99.9","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F46","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F46","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F46","BAR","200","10000","10015","9985","10000","10","","","","","","","",""
"F46","CAND","1","100","100000","100.1","99.9","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F47","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F47","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F47","BAR","200","10000","10020","9995","10010","10","","","","","","","",""
"F47","BAR","300","10010","10060","10005","10050","10","","","","","","","",""
"F47","CAND","1","100","100000","100.1","99.9","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F48","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F48","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F48","BAR","200","10000","10020","9995","10010","10","","","","","","","",""
"F48","BAR","300","10010","10060","10005","10050","10","","","","","","","",""
"F48","CAND","1","100","100000","100.1","99.9","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F49","META","NONE","OTHER","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","REJECT_UNSUPPORTED_POLICY","XAUUSD","5"
"F49","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F49","BAR","200","10000","10015","9995","10005","10","","","","","","","",""
