MSZZ_SCREENING_JB_INDEX_V2
fixture_id,behavior,journal_filename,invalid_journal,tamper_stage,tamper_field,tamper_value,journal_rows,expected_journal_sha256,expected_projection_sha256,expected_status,expected_outcomes
"JB11","candidate removed","cert_jb_JB11_journal.csv","0","POST_BUNDLE_CANDIDATE","REMOVE_CANDIDATE","","2","5711a87b3a0d1dc4d125271d6f935c10c700009eddacaa936291ba7c000308a8","194e3b496b24e2be15b604ca9512bc5de43513a304d8d019c1cfba4aec9179bd","REJECT_CANDIDATE_JOURNAL_BINDING_MISMATCH","0"
"JB12","duplicate candidate inserted","cert_jb_JB12_journal.csv","0","POST_BUNDLE_CANDIDATE","DUP_CANDIDATE","","1","be0d32db3b99dd2baf669a70346a937386a8f02527a2d1bf2c742f2fcc9c30ea","1c855e63995425d73101888debb03087c02eb372f1d0d9e8ba6a10e0422a1098","REJECT_CANDIDATE_JOURNAL_BINDING_MISMATCH","0"
"JB13","manifest row_count high","cert_jb_JB13_journal.csv","0","POST_BUNDLE_MANIFEST","manifest_row_count","2","1","be0d32db3b99dd2baf669a70346a937386a8f02527a2d1bf2c742f2fcc9c30ea","1c855e63995425d73101888debb03087c02eb372f1d0d9e8ba6a10e0422a1098","REJECT_CANDIDATE_JOURNAL_BINDING_MISMATCH","0"
"JB14","manifest row_count low","cert_jb_JB14_journal.csv","0","POST_BUNDLE_MANIFEST","manifest_row_count","1","2","5711a87b3a0d1dc4d125271d6f935c10c700009eddacaa936291ba7c000308a8","194e3b496b24e2be15b604ca9512bc5de43513a304d8d019c1cfba4aec9179bd","REJECT_CANDIDATE_JOURNAL_BINDING_MISMATCH","0"
"JB15","valid-looking wrong journal sha","cert_jb_JB15_journal.csv","0","POST_BUNDLE_MANIFEST","manifest_journal_sha","aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa","1","be0d32db3b99dd2baf669a70346a937386a8f02527a2d1bf2c742f2fcc9c30ea","1c855e63995425d73101888debb03087c02eb372f1d0d9e8ba6a10e0422a1098","REJECT_CANDIDATE_JOURNAL_BINDING_MISMATCH","0"
"JB16","wrong source-data sha","cert_jb_JB16_journal.csv","0","POST_BUNDLE_MANIFEST","manifest_source_sha","bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb","1","be0d32db3b99dd2baf669a70346a937386a8f02527a2d1bf2c742f2fcc9c30ea","1c855e63995425d73101888debb03087c02eb372f1d0d9e8ba6a10e0422a1098","REJECT_CANDIDATE_JOURNAL_BINDING_MISMATCH","0"
"JB17","wrong symbol","cert_jb_JB17_journal.csv","0","POST_BUNDLE_MANIFEST","manifest_symbol","EURUSD","1","be0d32db3b99dd2baf669a70346a937386a8f02527a2d1bf2c742f2fcc9c30ea","1c855e63995425d73101888debb03087c02eb372f1d0d9e8ba6a10e0422a1098","REJECT_CANDIDATE_JOURNAL_BINDING_MISMATCH","0"
"JB18","wrong timeframe","cert_jb_JB18_journal.csv","0","POST_BUNDLE_MANIFEST","manifest_timeframe","15","1","be0d32db3b99dd2baf669a70346a937386a8f02527a2d1bf2c742f2fcc9c30ea","1c855e63995425d73101888debb03087c02eb372f1d0d9e8ba6a10e0422a1098","REJECT_CANDIDATE_JOURNAL_BINDING_MISMATCH","0"
"JB19","wrong clock domain in journal","cert_jb_JB19_journal.csv","1","PRE_TRANSPORT_BYTES","invalid_journal","","1","","","REJECT_CANDIDATE_JOURNAL_BINDING_MISMATCH","0"
"JB20","wrong time authority in journal","cert_jb_JB20_journal.csv","1","PRE_TRANSPORT_BYTES","invalid_journal","","1","","","REJECT_CANDIDATE_JOURNAL_BINDING_MISMATCH","0"
"JB21","unsupported schema/projection version","cert_jb_JB21_journal.csv","0","POST_BUNDLE_IDENTITY","PROJECTION_VERSION","","1","be0d32db3b99dd2baf669a70346a937386a8f02527a2d1bf2c742f2fcc9c30ea","1c855e63995425d73101888debb03087c02eb372f1d0d9e8ba6a10e0422a1098","REJECT_CANDIDATE_JOURNAL_BINDING_MISMATCH","0"
"JB22","unsupported transport version","cert_jb_JB22_journal.csv","0","POST_BUNDLE_IDENTITY","TRANSPORT_VERSION","","1","be0d32db3b99dd2baf669a70346a937386a8f02527a2d1bf2c742f2fcc9c30ea","1c855e63995425d73101888debb03087c02eb372f1d0d9e8ba6a10e0422a1098","REJECT_CANDIDATE_JOURNAL_BINDING_MISMATCH","0"
"JB23","row permutation with stale manifest sha","cert_jb_JB23_journal.csv","0","POST_BUNDLE_MANIFEST","manifest_journal_sha","5711a87b3a0d1dc4d125271d6f935c10c700009eddacaa936291ba7c000308a8","2","d3bd35c8771f36f8fdc4e171df4357a3b3a7e6320edee701c53aa1f21328417b","10fe94253bd4829380b9e2b10eb8e5fa0b8bc6a42046636d5cfdab937ece3368","REJECT_CANDIDATE_JOURNAL_BINDING_MISMATCH","0"
"JB24","row permutation honestly re-manifested","cert_jb_JB24_journal.csv","0","NONE","","","2","d3bd35c8771f36f8fdc4e171df4357a3b3a7e6320edee701c53aa1f21328417b","10fe94253bd4829380b9e2b10eb8e5fa0b8bc6a42046636d5cfdab937ece3368","RUN_OK","2"
