"fixture_id","run_status","row_count","outcome_sha256"
"F23","RUN_OK","2","f0413db40c30fae8c5f751019f57402e7fd5a0c151228341971935cb008fbf8a"
"F24","RUN_OK","2","3ca9cb2c3c4fd1ec9f7c27f12180e0b346d7cf4ab62c9f0a2d7e70032b4eff08"
"F25","RUN_OK","1","aea1396bed1b871eeca6c94a1d7279cc951b01f191b81448d2839487f9d931a4"
"F26","RUN_OK","1","0ebe058be0ce5311980fd9b122b3ec466decae3a1a6ee8a2a42b1377ba866d0c"
"F27","RUN_OK","1","bbe63ce597dc6a69278425821a9a0b04e40d5a654fdd3bf3cb8674a3654ceb2e"
"F28","RUN_OK","1","8e55e0bd7b09840083fd801029e675718389c33de2c344c19c2e64a35a00e9d5"
"F29","RUN_OK","1","3018498a5646aca316c2787ceed3727f309dc9f6ebbcc50f8584631b105560bc"
"F30","RUN_OK","1","3b45e973e3de151851410bd7616fa5e7db5ff5ca7d437a151287cb1bb4efc903"
"F31","RUN_OK","1","05047e6f65d42df4ba1139f04db8d446a4d9c820be5dff097fb7557370819272"
"F32","RUN_OK","1","91b81aa2c2c6284531dd8c840696994949b6676be329a82fcf6034420d5d265b"
"F33","RUN_OK","1","a987082cf039b1591a755c3d0f06e23731e547cf7554c58fdd7d9dc55eac36e0"
"F34","RUN_OK","1","0ca216bafa924439d0d68e698bffb74fc948bf02c7f060d989ba8aa80a94e141"
"F35","RUN_OK","1","c72405b43ce847c4eb88c2a9b078f6fa93e38a3b4d445907add7a55aed050c0b"
"F36","RUN_OK","1","0101d22e3d357fea9c9d546f79b49e2561db35b968f7a6ac6b99a3defbd2787e"
"F37","RUN_OK","1","aea1396bed1b871eeca6c94a1d7279cc951b01f191b81448d2839487f9d931a4"
"F38","RUN_OK","1","0ebe058be0ce5311980fd9b122b3ec466decae3a1a6ee8a2a42b1377ba866d0c"
"F39","RUN_OK","1","bbe63ce597dc6a69278425821a9a0b04e40d5a654fdd3bf3cb8674a3654ceb2e"
"F40","RUN_OK","1","8e55e0bd7b09840083fd801029e675718389c33de2c344c19c2e64a35a00e9d5"
"F41","RUN_OK","1","0ca216bafa924439d0d68e698bffb74fc948bf02c7f060d989ba8aa80a94e141"
"F42","RUN_OK","1","aea1396bed1b871eeca6c94a1d7279cc951b01f191b81448d2839487f9d931a4"
"F43","RUN_OK","1","bbe63ce597dc6a69278425821a9a0b04e40d5a654fdd3bf3cb8674a3654ceb2e"
"F44","RUN_OK","1","fe82b12c388335eeb9b044e1f516bd440b163701334e0a4942529b2cfeca6596"
"F45","RUN_OK","1","aea1396bed1b871eeca6c94a1d7279cc951b01f191b81448d2839487f9d931a4"
"F46","RUN_OK","1","0ebe058be0ce5311980fd9b122b3ec466decae3a1a6ee8a2a42b1377ba866d0c"
"F47","RUN_OK","1","aea1396bed1b871eeca6c94a1d7279cc951b01f191b81448d2839487f9d931a4"
"F48","RUN_OK","1","aea1396bed1b871eeca6c94a1d7279cc951b01f191b81448d2839487f9d931a4"
"F49","REJECT_UNSUPPORTED_POLICY","0","0b7c138f80c90590e18d59d88a705b42a941a49ce4b50ca6dfd367d0be030deb"
"F50","REJECT_SOURCE_HASH_MISMATCH","0","0b7c138f80c90590e18d59d88a705b42a941a49ce4b50ca6dfd367d0be030deb"
"F51","REJECT_MARKET_HASH_MISMATCH","0","0b7c138f80c90590e18d59d88a705b42a941a49ce4b50ca6dfd367d0be030deb"
"F52","REJECT_SYMBOL_MISMATCH","0","0b7c138f80c90590e18d59d88a705b42a941a49ce4b50ca6dfd367d0be030deb"
"F53","REJECT_TIMEFRAME_MISMATCH","0","0b7c138f80c90590e18d59d88a705b42a941a49ce4b50ca6dfd367d0be030deb"
"F54","REJECT_CLOCK_DOMAIN_MISMATCH","0","0b7c138f80c90590e18d59d88a705b42a941a49ce4b50ca6dfd367d0be030deb"
"F55","REJECT_TIME_AUTHORITY_MISMATCH","0","0b7c138f80c90590e18d59d88a705b42a941a49ce4b50ca6dfd367d0be030deb"
"F56","REJECT_INSTRUMENT_PARAMS_MISMATCH","0","0b7c138f80c90590e18d59d88a705b42a941a49ce4b50ca6dfd367d0be030deb"
"F57","RUN_OK","2","c176884e72767a84b054590a15c1f80d0599e4bc57191abf0b58329ce2c6a2c0"
"F58","RUN_OK","2","c176884e72767a84b054590a15c1f80d0599e4bc57191abf0b58329ce2c6a2c0"
